Type,IPA,BEEP,Palan,Word1,Word3,Word2,Unicode,,,,,,,,,,
Consonant,p,p,P,"pen, copy, happen,put,pie",put,pie, ,,,",",,"""",""": """,""",","""P"": ""p"",","""-","""-P"": ""p"","
Consonant,b,b,P+,"back, baby, job,but,bad",but,bad,,,,",",,"""",""": """,""",","""P+"": ""b"",","""-","""-P+"": ""b"","
Consonant,t,t,T,"tea, tight, button,ten,tan",ten,tan,,,,",",,"""",""": """,""",","""T"": ""t"",","""-","""-T"": ""t"","
Consonant,d,d,T+,"day, ladder, odd,den,dog",den,dog,,,,",",,"""",""": """,""",","""T+"": ""d"",","""-","""-T+"": ""d"","
Consonant,k,k,C,"key, clock, school,can,coin, kite",can,"coin, kite",,,,",",,"""",""": """,""",","""C"": ""k"",","""-","""-C"": ""k"","
Consonant,g,g,G,"get, giggle, ghost,game,goat",game,goat,&#609;,,,",",,"""",""": """,""",","""G"": ""g"",","""-","""-G"": ""g"","
Consonant,tʃ,ch,CH,"church, match, nature,chain,cheese",chain,cheese,t &#643;,,,",",,"""",""": """,""",","""CH"": ""tʃ"",","""-","""-CH"": ""tʃ"","
Consonant,dʒ,jh,+Y,"judge, age, soldier,Jane,joke",Jane,joke,d &#658;,,,",",,"""",""": """,""",","""+Y"": ""dʒ"",","""-","""-+Y"": ""dʒ"","
Consonant,f,f,F,"fat, coffee, rough, photo,full,fill",full,fill,,,,",",,"""",""": """,""",","""F"": ""f"",","""-","""-F"": ""f"","
Consonant,v,v,+F,"view, heavy, move,very,van",very,van,,,,",",,"""",""": """,""",","""+F"": ""v"",","""-","""-+F"": ""v"","
Consonant,θ,th,TH,"thing, author, path,thin,think",thin,think,&#952;,,,",",,"""",""": """,""",","""TH"": ""θ"",","""-","""-TH"": ""θ"","
Consonant,ð,dh,,"this, other, smooth,then,",then,,&#240;,,,",",,"""",""": """,""",",""""": ""ð"",","""-","""-"": ""ð"","
Consonant,s,s,S,"soon, cease, sister,some,salt",some,salt,,,,",",,"""",""": """,""",","""S"": ""s"",","""-","""-S"": ""s"","
Consonant,z,z,S+,"zero, music, roses, buzz,zeal,zoo",zeal,zoo,,,,",",,"""",""": """,""",","""S+"": ""z"",","""-","""-S+"": ""z"","
Consonant,ʃ,sh,SH,"ship, sure, national,ship,ship",ship,ship,&#643;,,,",",,"""",""": """,""",","""SH"": ""ʃ"",","""-","""-SH"": ""ʃ"","
Consonant,ʒ,zh,,"pleasure, vision,measure,",measure,,&#658;,,,",",,"""",""": """,""",",""""": ""ʒ"",","""-","""-"": ""ʒ"","
Consonant,h,hh,H,"hot, whole, ahead,hat,hill",hat,hill,,,,",",,"""",""": """,""",","""H"": ""h"",","""-","""-H"": ""h"","
Consonant,m,m,M,"more, hammer, sum,man,men",man,men,,,,",",,"""",""": """,""",","""M"": ""m"",","""-","""-M"": ""m"","
Consonant,n,n,N,"nice, know, funny, sun,not,neat",not,neat,,,,",",,"""",""": """,""",","""N"": ""n"",","""-","""-N"": ""n"","
Consonant,ŋ,ng,N+,"ring, anger, thanks, sung,long,long",long,long,&#331;,,,",",,"""",""": """,""",","""N+"": ""ŋ"",","""-","""-N+"": ""ŋ"","
Consonant,l,l,L,"light, valley, feel,like,love",like,love,,,,",",,"""",""": """,""",","""L"": ""l"",","""-","""-L"": ""l"","
Consonant,r,r,R,"right, wrong, sorry, arrange,run,rag",run,rag,,,,",",,"""",""": """,""",","""R"": ""r"",","""-","""-R"": ""r"","
Consonant,j,y,Y,"yet, use, beauty, few,yes,yet",yes,yet,,,,",",,"""",""": """,""",","""Y"": ""j"",","""-","""-Y"": ""j"","
Consonant,w,w,W,"wet, one, when, queen,went,wave",went,wave,,,,",",,"""",""": """,""",","""W"": ""w"",","""-","""-W"": ""w"","
Consonant,ʔ,,,"(glottal stop) department, football,,",,,&#660;,,,",",,"""",""": """,""",",""""": ""ʔ"",","""-","""-"": ""ʔ"","
Punctuation,‘,,,"single opening quote,,",,,&#8216;,,,",",,"""",""": """,""",",""""": ""‘"",","""-","""-"": ""‘"","
Punctuation,’,,,"single closing quote, apostrophe,,",,,&#8217;,,,",",,"""",""": """,""",",""""": ""’"",","""-","""-"": ""’"","
Punctuation,“,,,"double opening quotes,,",,,&#8220;,,,",",,"""",""": """,""",",""""": ""“"",","""-","""-"": ""“"","
Punctuation,”,,,"double closing quotes,,",,,&#8221;,,,",",,"""",""": """,""",",""""": ""”"",","""-","""-"": ""”"","
Punctuation,—,,,"em-dash,,",,,&#8212;,,,",",,"""",""": """,""",",""""": ""—"",","""-","""-"": ""—"","
Punctuation,→,,,"rightwards arrow,,",,,&#8594;,,,",",,"""",""": """,""",",""""": ""→"",","""-","""-"": ""→"","
Other,ˈ,,,"(stress mark),,",,,&#712;,,,",",,"""",""": """,""",",""""": ""ˈ"",","""-","""-"": ""ˈ"","
Other,ˌ,,,"(secondary stress),,",,,&#716;,,,",",,"""",""": """,""",",""""": ""ˌ"",","""-","""-"": ""ˌ"","
Vowel,ɪ,ih,I,"kit, bid, hymn, minute,pit,rick, fit, brick, it",pit,"rick, fit, brick, it",&#618;,,,",",,"""",""": """,""",","""I"": ""ɪ"",","""-","""-I"": ""ɪ"","
Vowel,e,eh,E,"dress, bed, head, many,pet,reck, pet, peck, met",pet,"reck, pet, peck, met",,,,",",,"""",""": """,""",","""E"": ""e"",","""-","""-E"": ""e"","
Vowel,æ,ae,A,"trap, bad,pat,rack, hat",pat,"rack, hat",&#230;,,,",",,"""",""": """,""",","""A"": ""æ"",","""-","""-A"": ""æ"","
Vowel,ɒ,oh,O,"lot, odd, wash,pot,rock, hot, mock, ox",pot,"rock, hot, mock, ox",&#594;,,,",",,"""",""": """,""",","""O"": ""ɒ"",","""-","""-O"": ""ɒ"","
Vowel,ʌ,ah,U,"strut, mud, love, blood,putt,ruck, buck, put, truck, mud",putt,"ruck, buck, put, truck, mud",&#652;,,,",",,"""",""": """,""",","""U"": ""ʌ"",","""-","""-U"": ""ʌ"","
Vowel,ʊ,uh,,"foot, good, put,good,",good,,&#650;,,,",",,"""",""": """,""",",""""": ""ʊ"",","""-","""-"": ""ʊ"","
Vowel,iː,iy,I^,"fleece, sea, machine,bean,feet, mete, sheet, meek",bean,"feet, mete, sheet, meek",i &#720;,,,",",,"""",""": """,""",","""I^"": ""iː"",","""-","""-I^"": ""iː"","
Vowel,eɪ,ey,E^,"face, day, break,bay,mate, patient",bay,"mate, patient",e &#618;,,,",",,"""",""": """,""",","""E^"": ""eɪ"",","""-","""-E^"": ""eɪ"","
Vowel,aɪ,ay,AI,"price, high, try,buy,mite, height, fight, eye",buy,"mite, height, fight, eye",a &#618;,,,",",,"""",""": """,""",","""AI"": ""aɪ"",","""-","""-AI"": ""aɪ"","
Vowel,ɔɪ,oy,OI,"choice, boy,boy,soil, toy, boy, toil",boy,"soil, toy, boy, toil",&#596; &#618;,,,",",,"""",""": """,""",","""OI"": ""ɔɪ"",","""-","""-OI"": ""ɔɪ"","
Vowel,uː,uw,OU,"goose, two, blue, group,boon,soon, goo, moon",boon,"soon, goo, moon",u &#720;,,,",",,"""",""": """,""",","""OU"": ""uː"",","""-","""-OU"": ""uː"","
Vowel,əʊ,ow,OE,"goat, show, no,no,sole, lode, go, low",no,"sole, lode, go, low",&#601; &#650;,,,",",,"""",""": """,""",","""OE"": ""əʊ"",","""-","""-OE"": ""əʊ"","
Vowel,aʊ,aw,AU,"mouth, now,now,now, town, how, shower",now,"now, town, how, shower",a &#650;,,,",",,"""",""": """,""",","""AU"": ""aʊ"",","""-","""-AU"": ""aʊ"","
Vowel,ɪə,ia,EA,"near, here, weary,peer,near, hear",peer,"near, hear",&618; &#601;,,,",",,"""",""": """,""",","""EA"": ""ɪə"",","""-","""-EA"": ""ɪə"","
Vowel,eə,ea,,"square, fair, various,pair,",pair,,e &#601;,,,",",,"""",""": """,""",",""""": ""eə"",","""-","""-"": ""eə"","
Vowel,ɑː,aa,A^,"start, father,barn,barn, aunt, calm",barn,"barn, aunt, calm",&#593; &#720;,,,",",,"""",""": """,""",","""A^"": ""ɑː"",","""-","""-A^"": ""ɑː"","
Vowel,ɔː,ao,O^,"thought, law, north, war,born,raw, hall, bought, raw, saw",born,"raw, hall, bought, raw, saw",&#596; &#720;,,,",",,"""",""": """,""",","""O^"": ""ɔː"",","""-","""-O^"": ""ɔː"","
Vowel,ʊə,ua,,"poor, jury, cure,poor,",poor,,&#650; &#601;,,,",",,"""",""": """,""",",""""": ""ʊə"",","""-","""-"": ""ʊə"","
Vowel,ɜː,er,U^,"nurse, stir, learn, refer,burn,work, church, girl, firm",burn,"work, church, girl, firm",&#604; &#720;,,,",",,"""",""": """,""",","""U^"": ""ɜː"",","""-","""-U^"": ""ɜː"","
Vowel,ə,ax,,"about, common, standard,about,",about,,&#601;,,,",",,"""",""": """,""",",""""": ""ə"",","""-","""-"": ""ə"","
Vowel,i,,,"happy, radiate. glorious,,",,,,,,",",,"""",""": """,""",",""""": ""i"",","""-","""-"": ""i"","
Vowel,u,,,"thank you, influence, situation,,",,,,,,",",,"""",""": """,""",",""""": ""u"",","""-","""-"": ""u"","
Vowel,n̩,,,"suddenly, cotton,,",,,n &#809;,,,",",,"""",""": """,""",",""""": ""n̩"",","""-","""-"": ""n̩"","
Vowel,l̩,,,"middle, metal,,",,,l &#809;,,,",",,"""",""": """,""",",""""": ""l̩"",","""-","""-"": ""l̩"","
Notes,əʊ,OE,,",,",,,,,Not in Learn Palantype!,",",,"""",""": """,""",",""""": ""əʊ"",","""-","""-"": ""əʊ"","
Notes,uː,OU,,",,",,,,,"Rook in Palantype Operators, appears to be a mistake.  Also shook in Learn Palantype!",",",,"""",""": """,""",",""""": ""uː"",","""-","""-"": ""uː"","
